recorder,ID,day,date,treatment,rep,name,plant,insect.RTU,total.duration,floral.density,start,stop,visitation.duration,flowers.visited,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,SB,1:30:51,30,0:03:25,0:04:00,0:00:35,1,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,0:03:30,0:04:01,0:00:31,1,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,0:04:18,0:04:40,0:00:22,2,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,SF,1:30:51,30,0:04:00,0:05:32,0:01:32,2,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,BF,1:30:51,30,0:05:22,0:05:23,0:00:01,2,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MF,1:30:51,30,0:06:27,0:06:45,0:00:18,1,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,SB,1:30:51,30,0:07:23,0:07:49,0:00:26,1,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,SB,1:30:51,30,0:08:00,0:12:49,0:04:49,4,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,0:09:26,0:09:59,0:00:33,1,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,0:10:23,0:10:56,0:00:33,1,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,0:11:10,0:12:30,0:01:20,1,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,0:11:52,0:12:30,0:00:38,1,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,0:12:04,0:12:16,0:00:12,1,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,0:13:06,0:13:36,0:00:30,3,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,0:13:47,0:14:03,0:00:16,5,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,0:14:05,0:15:30,0:01:25,3,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,0:16:40,0:17:14,0:00:34,3,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,BF,1:30:51,30,0:18:50,0:18:51,0:00:01,1,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,BF,1:30:51,30,0:20:21,0:21:02,0:00:41,2,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,0:21:40,0:22:00,0:00:20,1,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,0:27:21,0:28:36,0:01:15,2,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,BF,1:30:51,30,0:27:35,0:29:00,0:01:25,1,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,0:29:08,0:29:41,0:00:33,2,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,0:30:23,0:30:57,0:00:34,5,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,SF,1:30:51,30,0:32:53,0:33:22,0:00:29,1,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,SF,1:30:51,30,0:45:35,0:46:10,0:00:35,1,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,0:50:47,0:51:04,0:00:17,4,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,0:52:00,0:52:55,0:00:55,2,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,0:53:10,0:53:35,0:00:25,3,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,B,1:30:51,30,1:07:02,1:07:03,0:00:01,1,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,BF,1:30:51,30,1:08:20,1:08:22,0:00:02,0,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,SF,1:30:51,30,1:14:20,1:25:20,0:11:00,1,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,1:28:33,1:29:30,0:00:57,3,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,1:29:46,1:30:25,0:00:39,3,
Ally,D5-OA-1,D5,01/04/15,OA,1,D5OA1,D,MB,1:30:51,30,1:30:45,1:30:51,0:00:06,1,
Ally,D5-OA-2,D5,01/04/15,OA,2,D5OA2,D,SF,1:37:11,26,0:05:48,0:06:06,0:00:18,1,
Ally,D5-OA-2,D5,01/04/15,OA,2,D5OA2,D,SF,1:37:11,26,0:06:06,0:10:35,0:04:29,1,
Ally,D5-OA-2,D5,01/04/15,OA,2,D5OA2,D,SF,1:37:11,26,0:23:53,0:24:17,0:00:24,2,
Ally,D5-OA-2,D5,01/04/15,OA,2,D5OA2,D,BB,1:37:11,26,0:37:02,0:37:04,0:00:02,1,
Ally,D5-OA-2,D5,01/04/15,OA,2,D5OA2,D,MB,1:37:11,26,0:37:26,0:37:48,0:00:22,3,
