year,observation.type,day,date,temperature,net.treatment,shrub.x,shrub.y,shrub.z,rep,insect.RTU,total.duration,floral.density,start,stop,visitation.duration,flowers.visited
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,0:03:25,0:04:00,0.009722222,1
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,0:03:30,0:04:01,0.008611111,1
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,flies,1.514166667,30,0:04:00,0:05:32,0.025555556,2
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,0:04:18,0:04:40,0.006111111,2
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,flies,1.514166667,30,0:05:22,0:05:23,2.78E-04,2
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,0:06:27,0:06:45,0.005,1
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,flies,1.514166667,30,0:07:23,0:07:49,0.007222222,1
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,0:08:00,0:12:49,0.080277778,4
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,0:09:26,0:09:59,0.009166667,1
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,0:10:23,0:10:56,0.009166667,1
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,0:11:10,0:12:30,0.022222222,1
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,0:11:52,0:12:30,0.010555556,1
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,0:12:04,0:12:16,0.003333333,1
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,0:13:06,0:13:36,0.008333333,3
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,0:13:47,0:14:03,0.004444444,5
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,0:14:05,0:15:30,0.023611111,3
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,0:16:40,0:17:14,0.009444444,3
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,flies,1.514166667,30,0:18:50,0:18:51,2.78E-04,1
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,0:20:21,0:21:02,0.011388889,2
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,flies,1.514166667,30,0:21:40,0:22:00,0.005555556,1
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,flies,1.514166667,30,0:27:21,0:28:36,0.020833333,2
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,0:27:35,0:29:00,0.023611111,1
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,0:29:08,0:29:41,0.009166667,2
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,0:30:23,0:30:57,0.009444444,5
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,other,1.514166667,30,0:32:53,0:33:22,0.008055556,1
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,flies,1.514166667,30,0:45:35,0:46:10,0.009722222,1
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,flies,1.514166667,30,0:50:47,0:51:04,0.004722222,4
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,0:52:00,0:52:55,0.015277778,2
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,0:53:10,0:53:35,0.006944444,3
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,1:07:02,1:07:03,2.78E-04,1
2015,video,1,4/1/2015,29.45622222,Annual flowers in open,0,0,0,1,bees,1.514166667,30,1:08:20,1:08:22,5.56E-04,0
