date,day,net.treatment,rep,shrub.x,shrub.y,shrub.z
1-Apr-15,D5,SA,4,2.1,2.4,1.6
1-Apr-15,D5,SAA,4,2.1,2.4,1.6
1-Apr-15,D5,SX,4,1.5,1.7,1.3
1-Apr-15,D5,OA,4,0,0,0
1-Apr-15,D5,SA,3,2.6,3.5,2.4
1-Apr-15,D5,SAA,3,2.6,3.5,2.4
1-Apr-15,D5,SX,3,3.9,3.7,2.1
1-Apr-15,D5,OA,3,0,0,0
1-Apr-15,D5,SA,2,2.5,3.3,2.1
1-Apr-15,D5,SAA,2,2.5,3.3,2.1
1-Apr-15,D5,SX,2,3,2.9,1.7
1-Apr-15,D5,OA,2,0,0,0
1-Apr-15,D5,SA,1,2,2.1,2.4
1-Apr-15,D5,SAA,1,2,2.1,2.4
1-Apr-15,D5,SX,1,1.7,1.6,1.3
1-Apr-15,D5,OA,1,0,0,0
4-Apr-15,D6,SA,1,3.3,3.5,2
4-Apr-15,D6,SAA,1,3.3,3.5,2
4-Apr-15,D6,SX,1,1.9,1.8,1.6
4-Apr-15,D6,OA,1,0,0,0
4-Apr-15,D6,SA,2,1.3,1.1,1.4
4-Apr-15,D6,SAA,2,1.3,1.1,1.4
4-Apr-15,D6,SX,2,1.7,1.5,1.4
4-Apr-15,D6,OA,2,0,0,0
4-Apr-15,D6,SA,3,1.2,1.1,1.3
4-Apr-15,D6,SAA,3,1.2,1.1,1.3
4-Apr-15,D6,SX,3,2.4,2.2,1.8
4-Apr-15,D6,OA,3,0,0,0
4-Apr-15,D6,SA,4,1.8,1.9,1.2
4-Apr-15,D6,SAA,4,1.8,1.9,1.2
4-Apr-15,D6,SX,4,1.6,1.5,1.7
4-Apr-15,D6,OA,4,0,0,0
5-Apr-15,D7,SA,1,2.2,1.7,1.3
5-Apr-15,D7,SAA,1,2.2,1.7,1.3
5-Apr-15,D7,SX,1,1.4,1.1,1
5-Apr-15,D7,OA,1,0,0,0
5-Apr-15,D7,SA,2,1.5,2.8,1.4
5-Apr-15,D7,SAA,2,1.5,2.8,1.4
5-Apr-15,D7,SX,2,2.3,1.7,1.6
5-Apr-15,D7,OA,2,0,0,0
5-Apr-15,D7,SA,3,1.8,1.9,1.6
5-Apr-15,D7,SAA,3,1.8,1.9,1.6
5-Apr-15,D7,SX,3,1.2,1.3,1.3
5-Apr-15,D7,OA,3,0,0,0
5-Apr-15,D7,SA,4,1.6,1.6,1.8
5-Apr-15,D7,SAA,4,1.6,1.6,1.8
5-Apr-15,D7,SX,4,2.1,1.7,1.5
5-Apr-15,D7,OA,4,0,0,0
6-Apr-15,D8,SA,1,2.2,2.3,1.7
6-Apr-15,D8,SAA,1,2.2,2.3,1.7
6-Apr-15,D8,SX,1,1.4,1.4,2
6-Apr-15,D8,OA,1,0,0,0
6-Apr-15,D8,SA,2,2.4,3.5,2.6
6-Apr-15,D8,SAA,2,2.4,3.5,2.6
6-Apr-15,D8,SX,2,2,2,1.4
6-Apr-15,D8,OA,2,0,0,0
6-Apr-15,D8,SA,3,1.6,1.8,1.2
6-Apr-15,D8,SAA,3,1.6,1.8,1.2
6-Apr-15,D8,SX,3,2.5,1.6,1.5
6-Apr-15,D8,OA,3,0,0,0
6-Apr-15,D8,SA,4,1.1,1.3,1.9
6-Apr-15,D8,SAA,4,1.1,1.3,1.9
6-Apr-15,D8,SX,4,1.7,2.1,1.6
6-Apr-15,D8,OA,4,0,0,0
7-Apr-15,D9,SA,1,1.9,2.2,1.6
7-Apr-15,D9,SAA,1,1.9,2.2,1.6
7-Apr-15,D9,SX,1,2.2,1.5,1.7
7-Apr-15,D9,OA,1,0,0,0
7-Apr-15,D9,SA,2,2.6,2.7,1.9
7-Apr-15,D9,SAA,2,2.6,2.7,1.9
7-Apr-15,D9,SX,2,1.3,1.8,1.5
7-Apr-15,D9,OA,2,0,0,0
7-Apr-15,D9,SA,3,1.4,1.2,1.3
7-Apr-15,D9,SAA,3,1.4,1.2,1.3
7-Apr-15,D9,SX,3,2.8,3.1,3.7
7-Apr-15,D9,OA,3,0,0,0
7-Apr-15,D9,SA,4,1.9,2,1.5
7-Apr-15,D9,SAA,4,1.9,2,1.5
7-Apr-15,D9,SX,4,1.9,1.6,1.4
7-Apr-15,D9,OA,4,0,0,0
8-Apr-15,D10,SA,1,2.8,1.9,1.6
8-Apr-15,D10,SAA,1,2.8,1.9,1.6
8-Apr-15,D10,SX,1,1.5,1.8,1.9
8-Apr-15,D10,OA,1,0,0,0
8-Apr-15,D10,SA,2,2.4,1.6,1.4
8-Apr-15,D10,SAA,2,2.4,1.6,1.4
8-Apr-15,D10,SX,2,1.5,1.8,1.9
8-Apr-15,D10,OA,2,0,0,0
8-Apr-15,D10,SA,3,2.1,2,1.8
8-Apr-15,D10,SAA,3,2.1,2,1.8
8-Apr-15,D10,SX,3,2.5,2.6,2
8-Apr-15,D10,OA,3,0,0,0
8-Apr-15,D10,SA,4,2.2,1.9,1.7
8-Apr-15,D10,SAA,4,2.2,1.9,1.7
8-Apr-15,D10,SX,4,2.1,1.6,1.3
8-Apr-15,D10,OA,4,0,0,0
9-Apr-15,D11,SA,1,3.5,3.5,1.3
9-Apr-15,D11,SAA,1,3.5,3.5,1.3
